Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,20620.700630000003,20669.03197,20436.887130000003,20833.761609999998,22569.97499,23300.03956,24045.27248,25835.13267,27084.70369,24630.453709999998,23512.6026,24985.993280000002,24713.69805,26189.43551,26647.9381,27980.8807,28281.35048,29007.693,,
Afghanistan,,,179.426611,190.68381430000002,211.38211690000003,242.0312849,263.7336917,359.6932375,364.66074480000003,438.07603439999997,543.3030418999999,591.1627589999999,641.8714792000001,637.1655232,613.8566892000001,578.4663529000001,547.2281102000001,556.3020024,524.1628808999999,502.1154869
Angola,556.8363181,527.3335285,872.4944916000001,982.9608992999999,1255.5640449999999,1902.422346,2599.566464,3121.995637,4080.9414100000004,3122.780766,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942,3289.646664,2973.59116
Albania,1126.6833179999999,1281.659393,1425.124849,1846.1188129999998,2373.5798440000003,2673.7872829999997,2972.743265,3595.0371630000004,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631993999999,3952.801215,4124.055726,4531.020806,5284.380184000001,5352.857411
Andorra,21854.2468,22971.53554,25066.88221,32271.9639,37969.17499,40066.25692,42675.81276,47803.69361,48718.496869999995,43503.18552,40852.66678,43335.32886,38686.461260000004,39538.76672,41303.92937,35762.523069999996,37474.66541,38962.88035,41793.05526,40886.39116
Arab World,2606.076582,2510.261947,2476.6960289999997,2736.4821190000002,3134.673534,3765.8204960000003,4359.807963,4963.541521,6146.391727,5176.528324,5934.2906840000005,6867.692047,7465.151651,7519.80826,7457.461109000001,6387.660615,6097.239025,6102.211067,6603.351189999999,6580.056257
United Arab Emirates,33291.419369999996,31280.78428,31567.473710000002,33499.09375,36333.24984,39365.4339,41907.405660000004,41809.51638,44498.93423,32024.1816,33893.303510000005,39194.67662,40976.499710000004,42412.63028,43751.83889,38663.38381,38141.84676,40644.804039999995,43839.35635,43103.32306
Argentina,7708.100995999999,7208.371567,2593.40415,3349.8061239999997,4277.721351,5109.851325,5919.0120369999995,7245.448317,9020.873098,8225.137176,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.060419999998,12790.242470000001,14591.86338,11683.94962,10006.14897
Armenia,622.7421391,694.4232277000001,783.2406986000001,930.1273219000001,1191.9190199999998,1643.753029,2158.143697,3139.277499,4010.857243,2994.342544,3218.372707,3525.8047469999997,3681.857456,3838.1858009999996,3986.231624,3607.2966969999998,3591.829276,3914.501268,4220.490277,4622.733493
American Samoa,,,8700.067705,8856.547459000001,8578.944723,8444.9817,8391.561067,8909.449156,9792.666806000001,11961.25823,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.955559999999,10823.4448,11466.690709999999,
Antigua and Barbuda,10920.842690000001,10370.671129999999,10404.43621,10789.95096,11446.63847,12547.61304,13989.71567,15607.089869999998,16024.34555,14113.07726,13049.25705,12746.20502,13272.44133,12909.74418,13501.580919999999,14286.093159999999,15197.61746,15383.41519,16726.98081,17790.30931
Australia,21679.24784,19490.861109999998,20082.483269999997,23447.031000000003,30430.67644,33999.242860000006,36044.922810000004,40960.054489999995,49601.65671,42772.359169999996,52022.1256,62517.83375,68012.1479,68150.10704,62510.791170000004,56755.721710000005,49971.131460000004,54066.47127,57395.91947000001,54907.101910000005
Austria,24564.458290000002,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.695289999996,50716.70871,51717.49594,44178.04738,45237.805089999994,47549.07904,51525.04643,50277.275089999996
Azerbaijan,655.0974326,703.6838433999999,763.080638,883.6439965,1045.0093789999999,1578.40239,2473.081819,3851.437869,5574.6038020000005,4950.294790999999,5842.805784,7189.691229000001,7496.294648,7875.756953,7891.313147,5500.310382,3880.7387310000004,4147.0897159999995,4739.841710000001,4793.58702
Burundi,136.4639708,134.3634475,123.117628,113.56736640000001,128.3366128,151.6814634,167.3764845,172.49585990000003,198.3529006,212.1368804,234.2356469,249.57797940000003,252.3589799,256.9760028,274.8579479,305.5497728,282.1931304,292.9976307,271.7520444,261.2474725
Belgium,23041.53473,22995.157519999997,24887.56133,30587.668410000002,35364.37533,36795.97688,38672.70594,44262.89599999999,48106.89292,44583.54481,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41998.33575,44288.50804,47491.323260000005,46116.69923
Benin,511.400227,517.6142296,572.2287954,709.6905332,797.31268,822.4578309,855.2940392,964.9269439999999,1120.888273,1084.3939,1036.533952,1130.273132,1145.140811,1251.2105179999999,1291.409808,1076.797716,1087.287832,1136.5928470000001,1240.8294640000001,1219.4326720000001
Burkina Faso,254.71752909999998,266.8641557,293.28074669999995,373.78762939999996,417.6270637,457.7515455,473.02918489999996,534.3558864,640.8108774,621.6731034,647.8358465,751.1729572,758.0007013999999,787.4701762999999,792.8467784,653.3269795,687.670175,738.2741589,820.1607938,774.8396902000001
Bangladesh,418.0689683,415.0344266,413.0802546,446.31065920000003,475.29191979999996,499.46194019999996,509.64014289999994,558.0518602999999,634.9870565,702.26441,781.1535936,861.7584443,883.1050005000001,981.8398792000002,1118.853663,1248.453398,1401.620466,1563.913857,1698.350394,1855.7398239999998
Bulgaria,1621.242961,1770.913534,2092.957694,2719.497656,3389.707049,3899.907638,4523.050833,5885.104348,7265.735497,6984.965976,6809.898984,7806.348652,7393.189176999999,7651.817881,7874.260904000001,7053.603706,7545.790332,8331.058025,9423.558612,9737.601351000001
Bahrain,13636.39623,12868.26916,13049.80322,14222.0368,15846.54414,17959.25544,19307.60966,20976.543530000003,23066.53376,19355.90467,20722.137290000002,22514.23795,23654.35139,24744.29696,24989.40012,22688.9444,22619.11667,23709.43047,23991.05668,23503.977130000003
"Bahamas, The",27097.610810000002,27486.23677,28866.801010000003,28327.27087,28395.92466,30278.36692,30713.705280000002,31472.09897,30627.23863,28552.19048,28443.40766,28006.379719999997,29485.62093,28768.029889999998,29445.03053,31405.963560000004,31588.835,31827.2427,32217.87159,32933.48601
Bosnia and Herzegovina,1467.7764769999999,1530.814816,1769.199828,2224.745864,2814.999895,2980.602109,3416.510596,4193.373652,5090.932345,4714.702495,4635.517779,5092.551943,4778.636088,5131.394506000001,5329.635045,4727.277546,4994.68314,5394.59122,6072.1809920000005,6073.265203
Belarus,1276.288034,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.4341240000003,4735.6576079999995,6377.369732,5351.355382,6029.3968,6519.230195,6940.159254000001,7978.872615,8318.512690000001,5949.106307,5022.626643,5761.74712,6330.075246,6663.295293
Belize,3364.332936,3404.4530170000003,3525.638583,3650.366521,3802.295808,3883.1923890000003,4153.894738,4252.48725,4404.330836,4186.489965,4270.864345,4423.489797,4505.6213020000005,4568.502958,4705.60269,4775.955648,4818.403909000001,4887.577208,4884.734162,4815.163711
Bermuda,56284.16865,58883.959429999995,62583.1002,66111.72523,70359.31911,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,,,,,
Bolivia,997.5824598999999,948.8712065999999,904.2266273,907.5371101,967.406992,1034.31124,1218.874459,1372.628225,1715.2089219999998,1754.211061,1955.461557,2346.33717,2609.880819,2908.200085,3081.878834,3035.972215,3076.6589489999997,3351.1240399999997,3548.590153,3552.068762
Brazil,3749.75325,3156.798718,2829.2831920000003,3070.910491,3637.4623890000003,4790.437088000001,5886.4635880000005,7348.030793999999,8831.023117,8597.915352,11286.24302,13245.6125,12370.0242,12300.32488,12112.58821,8814.000987000001,8710.09669,9925.386238,9001.234249,8717.186278
Barbados,11268.25406,11209.174309999999,11361.43367,11699.455759999999,12512.53251,13822.591680000001,15199.45797,16770.72121,17092.582140000002,15885.57971,16056.370980000002,16458.35321,16249.55939,16451.16358,16489.07224,16525.07325,16900.16655,17391.42587,17745.19346,18148.24493
Brunei Darussalam,18012.55626,16472.14862,16850.151130000002,18560.60857,21902.08805,26105.27903,30979.87917,32663.56659,37934.37651,27955.713860000003,35269.55311,47055.84112,47740.5149,44740.08502,41726.78397,31164.56203,27157.82341,28572.146780000003,31628.328789999996,31086.751080000002
Bhutan,718.1878307,764.4366074,845.5102798,962.0969037000001,1068.421776,1228.441824,1330.965297,1757.1825670000003,1828.1492329999999,1819.2134010000002,2258.183141,2563.2575269999998,2538.9459,2472.714309,2652.214589,2752.6642079999997,2930.562989,3286.574703,3243.231126,
Botswana,3522.3086780000003,3278.00825,3190.6154530000003,4330.9449,5073.53765,5520.124720000001,5516.03921,5832.733942,5713.534983,5255.768461,6434.815657,7617.325094,7070.37655,7224.965172,7780.638384999999,6799.875234,7243.852997,7893.210108,8279.601365,7961.338140000001
Central African Republic,251.20687740000002,250.3570114,260.7455273,293.6618517,320.7374603,331.1629242,354.6713801,404.373965,464.5614221,474.7054087,488.4214018,551.7500966,565.800697,380.29816760000006,424.4487513,377.4230017,402.19129060000006,450.90024500000004,475.95360989999995,467.90744060000003
Canada,24190.24962,23738.18072,24169.28473,28200.65808,32034.307739999997,36266.18712,40385.86996,44543.04104,46594.45095,40773.06153,47448.01322,52087.44638,52678.39012,52652.59368,50893.446710000004,43585.51198,42322.48478,45148.55271,46313.17137,46194.725230000004
Central Europe and the Baltics,3942.4381799999996,4347.2763159999995,4929.760469,5936.20961,7164.803283,8347.82284,9468.425951000001,12004.031790000001,14576.991409999999,12293.39198,12576.04184,13889.38578,13015.82872,13718.09775,14161.9073,12493.71382,12792.51412,14198.12986,15966.66834,16184.33201
Switzerland,37868.32306,38538.99005,41376.39399,48087.583139999995,53340.14766,54952.673720000006,57579.50195,63555.2375,72487.84593,69927.46877,74605.72102000001,88415.62806,83538.23008,85112.4644,86605.56337999999,82081.59712,80172.23207,80449.99456,82818.10816,81993.72715
Channel Islands,43381.65784,41804.37092,44544.43344,48859.48302,56753.3862,58197.44938,63239.653829999996,74462.64675,,,,,,,,,,,,
Chile,5074.901624,4574.594421,4446.250505,4772.56282,6194.853107,7598.525121,9464.550243000002,10502.35452,10751.47967,10208.90676,12808.034590000001,14637.240240000001,15351.551330000002,15842.94081,14670.99676,13574.171830000001,13753.59444,14999.37009,15924.794240000001,14896.45387
China,959.3724836000001,1053.108243,1148.50829,1288.6432519999998,1508.668098,1753.417829,2099.229435,2693.969827,3468.3044630000004,3832.2359520000005,4550.453596,5618.132490999999,6316.918863,7050.64592,7678.599431999999,8066.942424,8147.938148,8879.438149,9976.676822,10261.67913
Cote d'Ivoire,651.3059068,664.1276663,716.5302656,869.7125992999999,921.2012673,930.8298181,949.1318328,1061.154026,1235.613366,1210.295426,1213.112645,1208.583026,1243.273487,1415.871758,1561.463655,1972.5461079999998,2013.382462,2111.0270760000003,2302.612951,2286.162777
Cameroon,649.9918454,651.1009075000001,707.8875674,865.9581375,1009.9431199999999,1011.880073,1062.137433,1194.06985,1371.746708,1314.706015,1286.515572,1405.094392,1354.545613,1465.638843,1542.620266,1327.503017,1364.3301099999999,1425.107818,1534.491274,1497.909176
"Congo, Dem. Rep.",405.216253,153.5910092,175.0099651,173.7961353,194.0399624,218.38619080000004,255.4330838,286.3304921,327.56372180000005,298.61968210000003,334.0215726,387.0824654,424.60038610000004,457.96372829999996,486.78708190000003,497.3169608,471.3188404,467.0742375,557.0644182999999,545.2162122999999
"Congo, Rep.",1029.577037,868.3399509,912.2781532,1026.107674,1324.219142,1680.2045879999998,2064.344523,2165.745759,2956.264407,2314.266025,2812.435974,3286.694535,3032.4938829999996,3047.930773,2996.9180260000003,1762.0320179999999,1815.2958429999999,1767.8945210000002,2223.854479,2011.072399
Colombia,2520.4808980000003,2439.6818359999997,2396.627274,2281.40196,2782.62305,3414.4658329999997,3741.093171,4714.072541,5472.536133,5193.241451,6336.709214,7335.1105099999995,8050.058414,8218.033996,8114.0840689999995,6175.876132,5871.223575,6377.851363000001,6718.585324,6432.387583
Comoros,645.8186908,680.3185414,744.4751723999999,935.6115179999999,1059.176884,1068.6003210000001,1113.9577570000001,1238.461514,1387.594626,1339.337191,1316.498848,1447.963587,1403.34862,1505.349473,1513.830379,1242.60319,1273.058953,1323.81159,1415.9553130000002,1393.5223720000001
Cabo Verde,1259.323656,1292.202785,1401.903733,1809.089925,2024.2752480000001,2099.157484,2361.385134,3186.826892,3721.250949,3517.4012450000005,3378.25486,3740.389099,3447.5240409999997,3615.9790409999996,3588.674054,3043.013984,3130.963385,3292.645755,3617.3274880000004,3603.7817939999995
Costa Rica,3772.870012,3944.7376130000002,4024.6519,4129.632791,4385.390719,4654.824822,5201.514095,6071.789165,6859.079022,6760.4775150000005,8141.913127,9121.932518000001,9913.209959,10490.081329999999,10547.15186,11299.135540000001,11666.455909999999,11814.62657,12112.13442,12238.37496
Caribbean small states,5252.809735,5374.137197999999,5599.154459,5943.610645000001,6459.368502,7253.537343999999,8061.230995999999,8913.791951000001,10059.83315,8411.007673,9086.894793000001,9762.053463,10017.383590000001,10140.16594,10202.27477,9939.801206,9384.914524,9557.517493000001,9982.268089,10307.58628
Cuba,2747.098575,2837.738018,2999.245244,3197.133754,3395.71205,3786.664795,4683.5661549999995,5208.716073,5411.271418,5529.67036,5730.354775,6139.71933,6497.321113,6837.7128920000005,7133.342095,7694.01192,8060.795886,8541.210673,8821.818890999999,
Curacao,,,,,,,,,,,,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585,19457.53152,19573.89265,
Cayman Islands,,,,,,,83322.78344,85434.26817000001,85187.84023999999,77398.01584,73350.78482,72328.41163999999,72783.32044,73515.89532000001,74990.43322,76280.48625,78296.09993,81124.51348,85477.28701,
Cyprus,14388.34806,14821.44682,16093.214609999999,20252.238980000002,23792.62136,24959.259169999998,26729.3234,31244.926219999998,35397.36368,32109.242510000004,31023.63833,32396.385739999998,28912.156939999997,27729.1927,27129.626119999997,23333.71491,24532.51906,26338.694340000002,28689.70672,27858.371
Czech Republic,6011.615220000001,6609.205529999999,8032.8966120000005,9773.117503,11685.88724,13346.17639,15183.63605,18373.648999999998,22698.85396,19741.59763,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18463.386580000002,20379.89604,23046.94913,23101.7777
